candidate_name,job_title,resume
Cand_221,software_engineer,He has extensive experience building data pipelines involving such systems as well as giving training courses on them. Alex is the first ever certified Databricks trainer. Previously he worked at CERN on building a large scale monitoring system for the ATLAS experiment on top of Apache Cassandra.
Cand_222,software_engineer,He holds a master’s degree in Electronic Engineering speciality Computer Science from the Politecnico di Milano and is a member of the MISRA C Working Group.
Cand_223,software_engineer,"Formerly, Richard was Chief Scientist for modeling products at Borland Software .. Corporation where he managed both open .. source and commercial product development Richard represented Borland on the Eclipse Board of Directors, Planning and Architecture Councils, co-founded the top-level Eclipse Modeling Project. Richard is author of the book, “Eclipse Modeling Project, a Domain-Specific Language Toolkit.” Prior to Borland, Richard worked at TogetherSoft, Ariba, and Andersen Consulting. Richard holds a Bachelor of Computer Science and Engineering degree from the University of Connecticut. He was a reactor operator in the U.S. Navy before entering his career in software."
Cand_224,software_engineer,"After working at Geoworks, Microsoft, and a string of start up companies in Seattle area, he joined Hulu about 6 months ago, and is currently working on device automation framework for Hulu TV devices."
Cand_225,software_engineer,"After graduated with a Bachelor of Science in Computer Science at the University of California, San Diego in 2016, He started working as Software Engineer at AiraHub in San Diego. This presented him with a consistent invitation to experiment with new technologies while sparking an interest in looking at the ways that people behave when faced with different forms of interaction."
Cand_226,software_engineer,"Nick has been creating web based software since 2005, desktop software since 2013, and managing Linux systems since 2012. He is a rising star on Udemy having taught over 4,000 students. Nick teaches courses on the following topics:"
Cand_227,software_engineer,"Over the years, he has worked in C#.NET and .NET Web technologies. His area of expertise is in PDF and image processing. He is currently working on the multi-format document viewer and editor technologies for .NET."
Cand_228,software_engineer,"Since 2007, he has been involved in developing product features offered by the LEI team and in developing the Oracle Connector’s auto-codepage feature. He has a Bachelor of Engineering in Information Technology from Pune University and is pursuing a Master of Science in Software Systems from BITS, Pilani."
Cand_229,software_engineer,"Previously at WG Cells (Wargaming) and Xbox, she is best known for her work on Achievements for the Xbox 360 and the Xbox One. She has seen and resolved many issues in production, and still has nightmares about some of them. Sela is an advocate for women in games, and currently sits on the board of IGDA Seattle. On the side, she is a shown metal artist, a keytarist, and sometimes makes shiny things."
Cand_230,software_engineer,"His interests include graph databases, distributed streaming architectures, domain-specific languages, and applied artificial intelligence. Ganberg received a B.A. degree in computer science and economics from Vassar College."
