candidate_name,job_title,resume
Cand_261,software_engineer,"She graduated with a degree in Behavioral Neuroscience from Purdue University in 2010. In 2015 she decided to change careers and follow her passion, technology. It was through Eleven Fifty Academy that she was able to successfully make this career transition. Prior to joining Sallie Mae, she spent two years working as a Mobile Developer at Eleven Fifty Consulting."
Cand_262,software_engineer,"Currently working for a trading/investment banking software and research company, Adam previously ran his own consulting company, Redmud Inc., which now provides a useful permanent email address. He holds a B.S. in Math-Computer Science from Carnegie Mellon University, which is where he got hooked on the whole NeXT thing in the first place."
Cand_263,software_engineer,"He holds a PhD from NUS (National University of Singapore). He has built several large tools and frameworks with DynamoRIO, including the debugging framework EDDI and parallel memory profiler and analyzer PiPA."
Cand_264,software_engineer,"He has studied software engineering at Colorado Tech, and enjoys using python for system programming and data mining projects. Mark is certified as CISSP, CSSLP and an expert in ITIL v3."
Cand_265,software_engineer,"He received his bachelor’s degree from the National University of Laos, and his master’s degree from Auckland University of Technology (New Zealand), all in computer science. His research interests include persuasive technologies, agent-based modelling and recommendation systems. In 2017, He is the recipient of the best paper award at the the 2nd IEEE International Conference on Agent (ICA 2017)."
Cand_266,software_engineer,"Passionate about research and quality, she takes pleasure in analyzing problems in order to find the best solution. Nowadays she is working for a mobile development company in Silicon Valley and enjoys working as a graphic artist whenever she gets some free time."
Cand_267,software_engineer,"Pakistan. He hold a B.S. in computer science from FAST ICS Lahore, Pakistan. He describes himself as ""a java fiend, with keen ineterest in server-side technologies."" Currently, he is working on an Enterprise Resource Planning (ERP) system for KAPS."
Cand_268,software_engineer,"Broadcastr (beta.broadcastr.com) is a revolutionary Social Media platform for making and managing location-based stories. It enables recording, indexing, hearing, and sharing audio content. Stanimira’s team has built a brilliant distributed architecture capable of handling the huge resources needed by a geo-searching multimedia framework running in browsers and on mobile devices. Stanimira is also developing applications for e-publishing of multimedia-enhanced, interactive books. She is a teaching assistant in various technological courses at the Faculty of Mathematics and Informatics at Sofia University, where she also participates in a number of scientific research projects."
Cand_269,software_engineer,"Prior to joining StreetLight Data, he spent eight years at Purisima, which was later acquired by SAP. On the side, Mikey also helped to launch, grow, and sell a successful family business that simplified the financial aid application process for college students. His career began at Atari Systems, where he developed nine profitable sports arcade games. Mikey holds a B.A. in Computer Science from UC Berkeley."
Cand_270,software_engineer,"She enjoys working at the intersection of open ended problem solving, software engineering and machine learning. She has a background in applying machine learning for text and speech systems, and more recently identity and risk analytics."
