candidate_name,job_title,resume
Cand_171,software_engineer,"He enjoys developing iOS and WatchKit apps, and flying a house with balloons over Paris. Ryan Nystrom is a Software Engineer at Facebook and lead author on the WatchKit by Tutorials book. He is a passionate open source contributor where he builds UI controls and frameworks for others to use and learn from. In his spare time he enjoys flying planes as a private pilot."
Cand_172,software_engineer,"Ted has nearly 20 years' experience as a software developer working on commercial, government and defense systems. His current interests include building enterprise applications with Java and Spring, and web services. Throughout his career, he has been an advocate for processes, methods and tools that promote software quality. Ted is a Sun Certified Programmer, Developer and Web Component Developer, and recently became a Certified Scrum Master. Sponsors List >>"
Cand_173,software_engineer,"He works as Senior PHP Engineer at Zend Technologies, in the Zend Framework Team. He has been a Researcher Programmer at the Informatics Institute of the University of Amsterdam and he collaborated with the Science Department of the University of Pescara (Italy). He is a frequent speaker at PHP conferences and the author of articles and books about PHP, applied cryptography and computer security. He holds a B.Sc. (Hons) in Computer Science and Economics from the University of Pescara. He is the co-founder of the PHP User Group of Torino (Italy). Worked on ZF1 & ZF2 Certification."
Cand_174,software_engineer,"She is a committer in the Apache Cordova open source community and is always looking for opportunities to integrate mobile with cloud. Ms. DeLuca is a self-published author of a children’s book, A Robot Story, teaching kids how to count to ten in binary. In 2014, she was named one of Network World’s 50 Most Fascinating People in the World of Technology and is the first woman in IBM history to reach the 100th plateau achievement level, having filed more than 370 patent applications. About this event"
Cand_175,software_engineer,"She joined the CA Associate Software Engineer program in 2012 upon graduating from West Texas A&M University with a bachelor degree in Computer Science. Fresa is currently a member of the “minions” scrum team in the Datacom department of the Mainframe Data Management group, where she supports the Datacom Server product. Fresa also represents her scrum team on a cross-team committee to improve processes in Datacom."
Cand_176,software_engineer,"He has decades of experience with Linux and the Free Software community, including 9 years working with Google’s internal cluster and networking infrastructure, several years as an OpenStack developer for Rackspace, and nearly 20 years with the Debian project. He has been an upstream Kubernetes contributor since version 0.5 and is the principal author of the Kubernetes OpenStack cloud provider."
Cand_177,software_engineer,"He works on AutoGraph, a tool for converting plain Python code into its TensorFlow equivalent, and MiniGo, an open source replication of AlphaGoZero. Previously, Brian worked at Verily Life Sciences."
Cand_178,software_engineer,"He's associated with various projects of the Apache Hadoop ecosystem. He's a committer and Project Management Committee member of Apache Flume, and also a committer on Apache Hive and Apache Sentry. Prior to Cloudera, Prasad was a senior software engineer at IBM, working on database product development.Prasad will be teaching the following classes:Enterprise-Grade Security for Apache Hive"
Cand_179,software_engineer,"He has more than 14 years of experience in software development, and he is always contemplating how to create value for society with new technologies."
Cand_180,software_engineer,"While at NVIDIA, he helped develop early releases of CUDA system software and contributed to the OpenCL 1.0 Specification, an industry standard for heterogeneous computing. Jason received his master's degree in computer science from the University of California Berkeley where he published research in GPU computing, and he holds a bachelor's degree in electrical engineering from Princeton University. Prior to joining NVIDIA, he previously held positions at ATI Technologies, Apple, and Novell. When he's not writing books, Jason is typically working out, playing soccer, or shooting photos."
